Author,Title,Abstract
"Kim Yoonjung, Chang Hyunjoon, Yoon Taeyoung, Park Woobum, Choi Hyunsung, Na Sungsoo",Nano-fishnet formation of silk controlled by Arginine density.,"Silk fiber is renowned for its superb mechanical properties, such as over 7 times the toughness of Kevlar 49 Fibre. As the spider silk is tougher than any man-made fiber, there is a lot to be learned from spider silk. Recently, it has been reported that a large portion of the properties of silk is from naturally formed nano-fishnet structures of silk, but neither its formation mechanism nor its formation condition has been explained. Here, we show how the formation and disappearance of nano-fishnet of silk is determined by humidity, and how the humidity-dependency of nano-fishnet formation can be overcome by changing density of Arginine through sequence mutation. We demonstrate that the nano-fishnet-structured silk exhibits higher strength and toughness than its counterparts. This information on controllable nano-fishnet formation of silk is expected to pave the way for development of protein and synthetic fiber design. STATEMENT OF SIGNIFICANCE: Silk fibers are a very interesting material in that it exhibits superb mechanical properties such as 7 times the toughness of Kevlar 49 Fibre, despite being only composed of proteins. Therefore, it is important that we understand the principle of its high mechanical properties so that it may be applied in designing synthetic fibers. Recently, it has been reported that a large portion of its mechanical property comes from its nano-fishnet structures, but no detailed explanation on the condition or mechanism of formation. Through molecular dynamic simulations, we simulated the nano-fishnet formation of silk and analyzed the condition and mechanism behind it, and showed how the formation of nano-fishnet structures could be controlled by changing the density of Arginine residues. Our study provides information on fiber enhancement mechanism that could be applied to synthetic and protein fiber design."
"Grimaldos Jorge, Duque Almudena, Palau-Batet María, Pastor M Carmen, Bretón-López Juana, Quero Soledad",Cockroaches are scarier than snakes and spiders: Validation of an affective standardized set of animal images (ASSAI).,"Research on emotional processes has been closely related to the use of emotional stimuli, promoting the development of different standardized sets of images. However, some kinds of images that would be relevant in clinical psychology research are not available, especially for small animal phobias. The aim of the present study is to validate a set of animal images that includes images of cockroaches, which are not present in the current sets of images. Two hundred and forty images depicting five types of animals (cockroaches, spiders, snakes, cats, and butterflies) were collected from online public domains. Four hundred and twenty-four participants (72.9% women) took part in the study rating the images in two affective dimensions (i.e., valence and arousal). Cockroach pictures were rated as significantly more unpleasant than pictures of spiders, snakes, butterflies, and cats. Moreover, results revealed that women rated cockroach, spider, and snake pictures as more negative than men did. Also, women in comparison with men rated cockroach images as more arousing. The results highlight the importance of using images of cockroaches, due to their high negative valence, which even exceeds that of snakes and spiders, the unpleasant animals typically used in phobic research. This set of images can be useful in research on small-animal phobias."
"Koch Alina, Yukioka Satoru, Tanaka Shuhei, Yeung Leo W Y, Kärrman Anna, Wang Thanh","Characterization of an AFFF impacted freshwater environment using total fluorine, extractable organofluorine and suspect per- and polyfluoroalkyl substance screening analysis.","The vast number of per- and polyfluoroalkyl substances (PFASs) that are in global commerce (n > 4700) pose immense challenges for environmental monitoring. The large discrepancy between this large number and the few PFASs usually monitored suggest that environmental exposure might be substantially underestimated. This study applied a workflow, which included analysis of total fluorine (TF), extractable organofluorine (EOF), 24 target PFASs and suspect screening. The workflow aimed to close the organofluorine mass balance and to tentatively identify overlooked PFASs in various matrices from an aqueous film forming foam (AFFF) contaminated pond and its adjacent riparian zone. PFAS target analysis revealed that water, aquatic invertebrates as well as emergent aquatic insects had high concentrations with up to 2870 ng L"
"Saric Merisa, Eisoldt Lukas, Döring Volker, Scheibel Thomas",Interplay of Different Major Ampullate Spidroins during Assembly and Implications for Fiber Mechanics.,"Major ampullate (MA) spider silk has fascinating mechanical properties combining strength and elasticity. All known natural MA silks contain at least two or more different spidroins; however, it is unknown why and if there is any interplay in the spinning dope. Here, two different spidroins from Araneus diadematus are co-produced in Escherichia coli to study the possible dimerization and effects thereof on the mechanical properties of fibers. During the production of the two spidroins, a mixture of homo- and heterodimers is formed triggered by the carboxyl-terminal domains. Interestingly, homodimeric species of the individual spidroins self-assemble differently in comparison to heterodimers, and stoichiometric mixtures of homo- and heterodimers yield spidroin networks upon assembly with huge impact on fiber mechanics upon spinning. The obtained results provide the basis for man-made tuning of spinning dopes to yield high-performance fibers."
"Vijayvergiya Rajesh, Kasinadhuni Ganesh, Revaiah Pruthvi C, Sharma Puneet, Kumar Basant, Gupta Ankush",Role of Intravascular Imaging for the Diagnosis of Recanalized Coronary Thrombus.,"Recanalized thrombus (RCT) of coronary arteries is frequently unrecognized in interventional cardiology practice. Intravascular imaging conclusively establishes its diagnosis, which otherwise is often misdiagnosed as fresh thrombus, spontaneous coronary artery dissection, or severe calcification based on angiography, alone. We hereby report our experience of 10 RCT patients, who had the intravascular imaging-guided diagnosis, followed by the successful percutaneous coronary intervention (PCI)."
"Cetinkaya Ali, Aydin Kaniye, Sirakaya Hatice A, Yilmaz Rumeysa",A loxoscelism case received therapeutic apheresis and hyperbaric oxygen therapy.,"Loxosceles reclusa (L.reclusa) is known to bite humans, and its venom includes several enzymes that cause clinical symptoms. Loxoscelism, a condition due to being bitten by Loxosceles spiders, commonly known as recluses, can involve a range of clinical conditions, from local cutaneous lesions to severe systemic involvement. The diagnosis of loxoscelism is usually made by anamnesis and clinical findings. Magnetic resonance imaging is recommended for patients at high risk of necrotizing fasciitis. Treatment modalities are still controversial and there is no standardized treatment approach. Reported here, our case of loxoscelism involved a 24-year-old man presenting with a Loxosceles spider bite, dermonecrotic lesion, vomiting, diarrhea, acute renal injury, and rhabdomyolysis, who was successfully treated with hyperbaric oxygen therapy, therapeutic apheresis, hemodialysis, wound debridement, and cutaneous autografting. Early diagnosis and multidisciplinary approach can be life-saving in spider bites that can cause systemic involvement. Loxoscelism should be considered in patients with skin necrosis, acute renal injury, and rhabdomyolysis."
"Peng Ming-Hsiao, Hung Yuan-Chen, Liu Kuan-Ling, Neoh Kok-Boon",Landscape configuration and habitat complexity shape arthropod assemblage in urban parks.,"The urbanization process systematically leads to the loss of biodiversity. Only certain arthropods are resilient to the urbanization process and can thrive in the novel conditions of urbanized landscapes. However, the degree to which arthropod communities survive in urban habitats depends on landscape and local effects and biological interactions (e.g., trophic interactions). In the present study, we examined the relative importance of various factors at landscape (isolation, edge density and area of surrounding greenery) and local (size of park, canopy cover, understory vegetation cover, defoliation depth, weight of dried leaves, soil temperature, soil moisture, and soil pH) spatial scales on the diversity of ants, beetles and spiders in urban parks. Our results indicated that park edge density was negatively correlated with diversity metrics in ants, beetles, and spiders in urban parks relative to the degree of proximity with the peri-urban forest. In other words, parks that located adjacent to the peri-urban forest may not necessarily have high biodiversity. The results suggested that man-made structures have been effective dispersal barriers that limit the spillover effects of ants and spiders but not the spillover of comparatively strong fliers, such as beetles. However, the area of surrounding greenery may have facilitated the colonization of forest-dependent taxa in distant parks. Large parks with reduced edge density supported a higher arthropod diversity because of the minimal edge effect and increased habitat heterogeneity. Vegetation structure consistently explained the variability of ants, beetles, and spiders, indicating that understory plant litter is crucial for providing shelters and hibernation, oviposition, and foraging sites for the major taxa in urban parks. Therefore, efforts should focus on the local management of ground features to maximize the conservation of biological control in urban landscapes."
"Graham Bronwyn M, Weiner Shelley, Li Sophie H",Gender differences in avoidance and repetitive negative thinking following symptom provocation in men and women with spider phobia.,"Women's greater prevalence of anxiety disorders compared to men is widely assumed to be partly due to gender differences in cognitive and behavioural factors that perpetuate anxiety, such as repetitive negative thinking (RNT) and avoidance. However, past studies assessing this assumption have not controlled for gender differences in baseline symptom severity, the type of stressful life experiences against which RNT and avoidance are measured, or emotional reactivity to these experiences."
Kang Changboo,Between Mars and Eros: British Army's Fight Against Venereal Disease during the First World War.,"""Total War"" calls upon combatant countries to mobilize all of their resources and energies for war and their civilians to contribute in their own ways to the ""war effort"" of their respective governments. Carrying out such war, some governments try to redefine the distinction between the private sphere and the public sphere in their people's lives. Even sexual life, the most private sphere in people's lives, may be exposed to various forms of supervision and control from their states in the name of the national ""war effort."" In particular, the government in war does not hesitate to scrutinize the most private sphere of their people's lives when certain aspects of their lives do considerable harm to ""war effort"" or ""national efficiency."" The British society in the First World War intensively experienced some kind of ""social control"" due to the increasing spread of venereal disease (VD) both among civilians and troops. Like British society as a whole, the British army, who had primary responsibility to fight the war in the field, had to fight another hard battle against an enemy within VD, throughout the war. During the First World War, VD caused 416,891 hospital admissions among British and Dominion troops. Excluding readmissions for relapses, approximately five percent of all the men who served in Britain's armies in the course of the war became infected. During the war, at least a division was constantly out of action because so many troops had to treat VD. This disease caused a huge drain on the British army's human and material resources and consequently undermined, to a considerable extent, its military efficiency. However, a series of measures of the British Army to improve the high rate of infection among their troops have been simply considered ineffective by both contemporaries and subsequent researchers. This article aims to provide a more balanced perspective on the efforts of the British Army to fight VD during the war and reconsider the existing understandings in regard to their general effectiveness. It argues that the overall measures of the British Army regarding VD have to be examined in the context of the national efforts of British society to fight against VD as a whole. Their supposed ineffectiveness well-reflected the indecisiveness of the overall British society in terms of both how to view VD and how to fight against it."
"Khiangte Benjamine, Kothakota Sunil Raviraj, Sasidharan Madhu, Kareem Harish, Joshi Subhashchandra, Kumar Vijosh V, Kanala Jagadeswara Reddy, Kumar C Praveen, Nair Ajith K",Prevalence and determinants of hepatopulmonary syndrome in decompensated chronic liver disease.,One of the severe complications of liver disease is hepatopulmonary syndrome (HPS). There is paucity in literature regarding the various factors associated with the development of HPS. This study was conducted to analyze the prevalence and determinants of HPS among patients with decompensated chronic liver disease (CLD).
"Ma Chao, Dong Jingjin, Viviani Marco, Tulini Isotta, Pontillo Nicola, Maity Sourav, Zhou Yu, Roos Wouter H, Liu Kai, Herrmann Andreas, Portale Giuseppe","De novo rational design of a freestanding, supercharged polypeptide, proton-conducting membrane.","Proton translocation enables important processes in nature and man-made technologies. However, controlling proton conduction and fabrication of devices exploiting biomaterials remains a challenge. Even more difficult is the design of protein-based bulk materials without any functional starting scaffold for further optimization. Here, we show the rational design of proton-conducting, protein materials exceeding reported proteinaceous systems. The carboxylic acid-rich structures were evolved step by step by exploring various sequences from intrinsically disordered coils over supercharged nanobarrels to hierarchically spider β sheet containing protein-supercharged polypeptide chimeras. The latter material is characterized by interconnected β sheet nanodomains decorated on their surface by carboxylic acid groups, forming self-supportive membranes and allowing for proton conduction in the hydrated state. The membranes showed an extraordinary proton conductivity of 18.5 ± 5 mS/cm at RH = 90%, one magnitude higher than other protein devices. This design paradigm offers great potential for bioprotonic device fabrication interfacing artificial and biological systems."
Falcone John L,Spider-Man Was Here and NSAIDs Were Not: Report of a Nonobstructing Fenestrated Colonic Mucosal Web Complex Seen on Colonoscopy.,N/A
"Greco Gabriele, Pugno Nicola M",Mechanical Properties and Weibull Scaling Laws of Unknown Spider Silks.,"Spider silks present extraordinary mechanical properties, which have attracted the attention of material scientists in recent decades. In particular, the strength and the toughness of these protein-based materials outperform the ones of many man-made fibers. Unfortunately, despite the huge interest, there is an absence of statistical investigation on the mechanical properties of spider silks and their related size effects due to the length of the fibers. Moreover, several spider silks have never been mechanically tested. Accordingly, in this work, we measured the mechanical properties and computed the Weibull parameters for different spider silks, some of them unknown in the literature. We also measured the mechanical properties at different strain rates for the dragline of the species "
"Piscopo A, Massari F, Scicchitano P, Sanasi M, De Palo M, Caldarola P, Liccese M, Calculli G",Acute Myocarditis After Black Widow Spider Bite: A Case Report.,"The black widow spider (BWS) is a venomous spider whose bite can cause various clinical conditions that range from local damage to serious systemic complications, including death. Cases of myocarditis following a BWS bite are rare but they can be fatal on occasion. However, the prognostic significance of the bite and presentation of myocarditis is unknown. Our case involved a 50-year-old man who presented with myocarditis after being bitten by a BWS and subsequently admitted to the intensive care unit for cardiac monitoring. During the hospital stay, he showed worsening signs on both the electrocardiographic and echocardiographic evaluations despite therapeutic success. Subsequent cardiac magnetic resonance and coronary angiography investigations showed no significant alterations; blood and instrumental test results slowly improved, and the patient was discharged home after 12 days of hospitalization without complications. This case illustrates that acute myocarditis, although an infrequent complication of BWS bite, has the potential to be lethal. The correct diagnosis, which is not always easy to formulate, is important to identify those patients who can benefit from careful monitoring and specific therapies aimed at reducing the risk of life."
"Cohen Philip R, Skupsky Hadas, Erickson Christof, Calame Antoanella",Foreign Body (Solder) and Reaction to the Foreign Body Presenting As a Cutaneous Tender Tumor: Case Report and a New Acronym to Aid in Recalling the Differential Diagnosis of Painful Skin Lesions.,"Cutaneous tender tumors manifest as painful dermal or subcutaneous masses. Acronyms, a memory aid created from the initial letters of other words, can be used to assist in recalling a list of conditions. We report the case of a man who presented with a painful lesion on his leg; 15 years earlier, hot solder had embedded beneath his skin at that location. The subcutaneous mass was removed, and his symptoms resolved. Microscopic evaluation of the specimen showed a foreign body reaction to metal. Therefore, after correlating his medical history, clinical presentation, and pathology findings, the diagnosis of a foreign body (solder) and a foreign body reaction to solder, as a cause of the patient's painful skin lesion, was established. Including our patient's diagnosis for his painful skin lesion, the list of conditions that have been described as presenting as a cutaneous tender tumor include calcinosis cutis, angioendotheliomatosis, leiomyoma, metastases, hidradenoma, osteoma cutis, glomus tumor, scar, fibromyxoma, leiomyosarcoma, eccrine angiomatous hamartoma, Dercum's disease, piezogenic pedal papule, eccrine spiradenoma, neurilemmoma, something else (such as foreign body (solder) and a reaction to the foreign body), angiolipoma, neuroma, dermatofibroma, granular cell tumor, endometriosis, thrombus, blue rubber bleb nevus, angioma, chondrodermatitis nodularis helicis, and keloid. We introduce a novel acronym for painful lesions of the skin that was inspired by the book Charlotte's Web in which a barn spider (Charlotte), by weaving praises of a pig (Wilbur) into her web, is responsible for the pig's life being spared. Wilbur is a calm pig; however, there was an episode when he temporarily fled his pen and was subsequently induced, with a pail of slop, to get back into the pen. The new acronym for cutaneous tender tumors uses the initial letter of each of the 26 currently established painful skin lesions: CALM HOGS FLED PENS AND GET BACK."
"Wang Xiaoli, Li Guoyi, Guo Jingkang, Zhang Zhiping, Zhang Shuzhang, Zhu Yudan, Cheng Jiwei, Yu Lu, Ji Yonghua, Tao Jie",Kv1.3 Channel as a Key Therapeutic Target for Neuroinflammatory Diseases: State of the Art and Beyond.,"It remains a challenge for the effective treatment of neuroinflammatory disease, including multiple sclerosis (MS), stroke, epilepsy, and Alzheimer's and Parkinson's disease. The voltage-gated potassium Kv1.3 channel is of interest, which is considered as a novel therapeutic target for treating neuroinflammatory disorders due to its crucial role in subsets of T lymphocytes as well as microglial cells. Toxic animals, such as sea anemones, scorpions, spiders, snakes, and cone snails, can produce a variety of toxins that act on the Kv1.3 channel. The "
"Lopez-Fernandez Olatz, Williams A Jess, Griffiths Mark D, Kuss Daria J","Female Gaming, Gaming Addiction, and the Role of Women Within Gaming Culture: A Narrative Literature Review.","Research investigating female gaming has begun to emerge despite gaming being traditionally more popular with males. Research in the 21st century has drawn attention to the role of women in culture, society, and technology, and female gaming is one of the growing phenomena not to have been researched in depth. The aim of the present paper was to review female gaming (i.e., the role of females within video game culture) and identify any associated psychopathological symptomatology. The review adapted the Sample, Phenomenon of Interest, Design, Evaluation, Research (SPIDER) model in conducting a narrative literature review. A search of three scientific electronic databases yielded 49 papers for further evaluation. From a methodological perspective, studies had to fulfill the following criteria to be included: i) published between the years 2000 and 2018; ii) assessed female gaming or the female position within gaming culture, iii) contained quantitative, qualitative, or mixed methods approaches to produce empirical data or discuss theoretical implications through reviews, iv) be retrievable as a full-text peer-reviewed journal paper, and v) published in English, German, Polish, Spanish, Italian, Portuguese, or French. Four categories emerged from the papers: i) the benefits of female gaming, ii) why women might play video games less than men, iii) perceptions and realities of female characters within video games, and iv) women's position in gaming culture. The main findings showed playing video games has benefits for women in terms of enhancing cognitive, social, and physical abilities. However, they are less encouraged to play video games due to negative expectations based on gender and/or experiences during game play. Video games are associated with stereotypical male characteristics, such as being overly aggressive, and frequently contain sexualized content. Female gamers appear to require coping strategies to handle online harassment. Females look for different things in video games, which are not often included in game designs thereby limiting their abilities. For instance, female avatar representation-which is exaggerated and hypersexualized-can prompt social comparisons and lead to feelings of decreased self-esteem, depression, and other impacts on well-being. Overall, there are still obstacles for women playing video games even though they comprise half of the gaming population."
"Hoffman Yaakov S G, Pitcho-Prelorentzos Shani, Ring Lia, Ben-Ezra Menachem","""Spidey Can"": Preliminary Evidence Showing Arachnophobia Symptom Reduction Due to Superhero Movie Exposure.","Fear of insects, mainly spiders, is considered one of the most common insect phobias. However, to date, no conducted studies have examined the effects of phobic stimulus exposure (spiders/ants) within the positive context of superhero movies, such as "
Pariante Carmine M,"Did Spider-Man Work in the NESDA Cohort? In Immunopsychiatry, With Great Power Comes Great Responsibility.",N/A
"Scherzer Nikolas D, Reddy Amit G, Le Tan V, Chernobylsky David, Hellstrom Wayne J G",Unintended Consequences: A Review of Pharmacologically-Induced Priapism.,"Priapism has been linked to many commonly prescribed medications, as well as recreational drugs and toxins. Although the incidence of priapism as a result of medication is small, the increasing use of antidepressants, antipsychotics, and recreational drugs may lead to more cases of pharmacologically-induced priapism in the future."
"Kim Yoonjung, Lee Myeongsang, Baek Inchul, Yoon Taeyoung, Na Sungsoo",Mechanically inferior constituents in spider silk result in mechanically superior fibres by adaptation to harsh hydration conditions: a molecular dynamics study.,Spider silk exhibits mechanical properties such as high strength and toughness that are superior to those of any man-made fibre (Bourzac 2015 
"Liu Junjie, Zhu Wenqing, Yu Zhongliang, Wei Xiaoding",Dynamic shear-lag model for understanding the role of matrix in energy dissipation in fiber-reinforced composites.,"Lightweight and high impact performance composite design is a big challenge for scientists and engineers. Inspired from well-known biological materials, e.g., the bones, spider silk, and claws of mantis shrimp, artificial composites have been synthesized for engineering applications. Presently, the design of ballistic resistant composites mainly emphasizes the utilization of light and high-strength fibers, whereas the contribution from matrix materials receives less attention. However, recent ballistic experiments on fiber-reinforced composites challenge our common sense. The use of matrix with ""low-grade"" properties enhances effectively the impact performance. In this study, we establish a dynamic shear-lag model to explore the energy dissipation through viscous matrix materials in fiber-reinforced composites and the associations of energy dissipation characteristics with the properties and geometries of constituents. The model suggests that an enhancement in energy dissipation before the material integrity is lost can be achieved by tuning the shear modulus and viscosity of a matrix. Furthermore, our model implies that an appropriately designed staggered microstructure, adopted by many natural composites, can repeatedly activate the energy dissipation process and thus improve dramatically the impact performance. This model demonstrates the role of matrix in energy dissipation, and stimulates new advanced material design concepts for ballistic applications."
"Boieiro Mário, Matthews Thomas J, Rego Carla, Crespo Luis, Aguiar Carlos A S, Cardoso Pedro, Rigal François, Silva Isamberto, Pereira Fernando, Borges Paulo A V, Serrano Artur R M",A comparative analysis of terrestrial arthropod assemblages from a relict forest unveils historical extinctions and colonization differences between two oceanic islands.,"During the last few centuries oceanic island biodiversity has been drastically modified by human-mediated activities. These changes have led to the increased homogenization of island biota and to a high number of extinctions lending support to the recognition of oceanic islands as major threatspots worldwide. Here, we investigate the impact of habitat changes on the spider and ground beetle assemblages of the native forests of Madeira (Madeira archipelago) and Terceira (Azores archipelago) and evaluate its effects on the relative contribution of rare endemics and introduced species to island biodiversity patterns. We found that the native laurel forest of Madeira supported higher species richness of spiders and ground beetles compared with Terceira, including a much larger proportion of indigenous species, particularly endemics. In Terceira, introduced species are well-represented in both terrestrial arthropod taxa and seem to thrive in native forests as shown by the analysis of species abundance distributions (SAD) and occupancy frequency distributions (OFD). Low abundance range-restricted species in Terceira are mostly introduced species dispersing from neighbouring man-made habitats while in Madeira a large number of true rare endemic species can still be found in the native laurel forest. Further, our comparative analysis shows striking differences in species richness and composition that are due to the geographical and geological particularities of the two islands, but also seem to reflect the differences in the severity of human-mediated impacts between them. The high proportion of introduced species, the virtual absence of rare native species and the finding that the SADs and OFDs of introduced species match the pattern of native species in Terceira suggest the role of man as an important driver of species diversity in oceanic islands and add evidence for an extensive and severe human-induced species loss in the native forests of Terceira."
Craig Kelsey,"A Review of the Chemistry, Pesticide Use, and Environmental Fate of Sulfur Dioxide, as Used in California.",Sulfur dioxide (SO
"Novara Francesca Rita, Ross Haymo",The Nobel Legacy: A Journey through Chemistry Inspired by the Achievements of Nobel Laureates.,"The Prize is right! Chemistry-A European Journal will start an exciting journey exploring the significance of Nobel Prize awards in Chemistry in the corresponding contemporary chemistry fields. In this new journal feature called ""The Nobel Legacy"", a recurring series of invited Review-type articles each one connected to a particular Nobel Prize in Chemistry will be published."
"Zsido Andras N, Arato Nikolett, Inhof Orsolya, Janszky Jozsef, Darnai Gergely",Short versions of two specific phobia measures: The snake and the spider questionnaires.,"Zoophobias are the most prevalent form of specific phobia worldwide. Two of the most widely used measures, the Snake Questionnaire (SNAQ) and Spider Questionnaire (SPQ) are good indicators of specific fears, but researchers have recognised that shorter, yet nevertheless reliable measures are needed. Hence the aims of this research were to develop short forms of the SNAQ and SPQ using item response theory and to use receiver operating characteristic (ROC) curve analyses to determine cut-offs for use in future research. Twelve-item versions of both scales (SNAQ-12 and SPQ-12) demonstrated excellent discrimination along the latent continuum in a sample of 1354 people. The SNAQ-12 and SPQ-12 showed excellent reliability and were highly correlated with the corresponding full-length scale. The scales discriminated between participants who reported snake (3.25%) or spider (8.05%) phobia and those who did not. Further analyses revealed that non-phobic women report higher fear of both snakes and spiders than do men, but this difference was not present in phobics. These findings suggest that the SNAQ-12 and SPQ-12 have considerable strengths, including shorter assessment and scoring times, whilst retaining high reliability and potential utility as a clinical screening tool."
"Zhou Jian, Miles Ronald N",Sensing fluctuating airflow with spider silk.,"The ultimate aim of flow sensing is to represent the perturbations of the medium perfectly. Hundreds of millions of years of evolution resulted in hair-based flow sensors in terrestrial arthropods that stand out among the most sensitive biological sensors known, even better than photoreceptors which can detect a single photon (10"
Zsido Andras N,The spider and the snake - A psychometric study of two phobias and insights from the Hungarian validation.,"Specific phobias-particularly zoophobias-are prevalent worldwide and can have fairly dramatic health consequences. Self-report measurements play a crucial role in phobia research studies; thus, it is important to have a reliable tool in different languages. The present investigation examined the psychometric properties of the Hungarian version of two commonly used measures of fear: the Spider Phobia Questionnaire (i.e. SPQ) and the Snake Questionnaire (i.e. SNAQ). The SPQ and SNAQ scores both demonstrated excellent reliability, including a test-retest over a 4-week period. Supportive evidence for the validity of the SPQ and SNAQ scores was found using questions assessing fainting and avoidance history, regarding snakes and spiders, based on DSM-V criteria. Both questionnaires could discriminate between participants who reported such an event and those who did not. Further analyses also revealed a sex difference, with women scoring higher than men on both scales. Moreover, 9.5% and 4.24% of the respondents reached the cut-off point, set by previous studies, for spider and snake phobias, respectively. These findings suggest that the SPQ and SNAQ have excellent psychometric properties, making them suitable for use in further cross-cultural research and epidemiological studies."
"Toran Pour Alireza, Moridpour Sara, Tay Richard, Rajabifard Abbas",Influence of pedestrian age and gender on spatial and temporal distribution of pedestrian crashes.,"Every year, about 1.24 million people are killed in traffic crashes worldwide and more than 22% of these deaths are pedestrians. Therefore, pedestrian safety has become a significant traffic safety issue worldwide. In order to develop effective and targeted safety programs, the location- and time-specific influences on vehicle-pedestrian crashes must be assessed. The main purpose of this research is to explore the influence of pedestrian age and gender on the temporal and spatial distribution of vehicle-pedestrian crashes to identify the hotspots and hot times."
"Watson Jennifer J, Mansour M Ashraf",Cosmetic sclerotherapy.,"Telangiectasias and spider veins are considered a common cosmetic concern for both women and men. Sclerotherapy is a frequently used, low-risk, and highly successful method to treat these venous problems. This article reviews the pathophysiology and diagnosis of telangiectasias and reticular veins as well as the currently available agents and techniques of sclerotherapy. The possible complications and adverse outcomes of sclerotherapy are described. Standard care and follow-up for patients after the procedure are outlined. Also included are tips and tricks found to be valuable in a busy vein practice."
"Méndez Gonzalo P, Enos Daniel, Moreira José Luis, Alvaredo Fátima, Oddó David",Nephrotic syndrome due to minimal change disease secondary to spider bite: clinico-pathological case of a non-described complication of latrodectism.,The patient was an 18-year-old man who developed nephrotic syndrome after a 'wheat spider' bite (
"Lang Gregor, Neugirg Benedikt R, Kluge Daniel, Fery Andreas, Scheibel Thomas",Mechanical Testing of Engineered Spider Silk Filaments Provides Insights into Molecular Features on a Mesoscale.,"Spider dragline silk shows the highest toughness in comparison to all other known natural or man-made fibers. Despite a broad experimental foundation concerning the macroscopic silk thread properties as well as a thorough simulation-based molecular understanding, the impact of the mesoscale building blocks, namely nano-/submicrometer-sized filaments, on the mechanical properties of the threads remains the missing link. Here, we illustrate the function of these mesoscaled building blocks using electrospun fibers made of a recombinant spider silk protein and show the impact of β-sheet content and fiber hydration on their mechanical performance. Specifically elucidating the interplay between β-sheet-cross-linking (fiber strength) and structural water (fiber extensibility), the results bridge the gap between the molecular and the macroscopic view on the mechanics of spider silk. It is demonstrated that the extensibility of the here used single (MaSp2-like) protein system is in good accordance with the simulated extensibilities published by other groups. Furthermore, sufficient hydration of the fibers is shown to be a prerequisite to obtain a toughness in the range of that of natural dragline silk. Preliminary studies on electrospun fibers of the MaSp2-based recombinant spider silk proteins used in this work have indicated their basic applicability in the technical field of filter systems as well as in regenerative medicine. The presented work provides a fundamental understanding of the mechanical performance of such fibers under different wetting conditions, a prerequisite to further specify their potential for such applications."
"Aytac Emrah, Gürkaş Erdem, Akpinar Cetin Kursad, Saleem Muhammad A, Qureshi Adnan I",Subclinical ischemic events in patients undergoing carotid artery stent placement: comparison of proximal and distal protection techniques.,To determine the relative effectiveness of proximal and distal protection in prevention of cerebral ischemic events during carotid artery stent (CAS) placement using diffusion-weighted MRI (DW-MRI).
"Chang Jia-Feng, Hsieh Cheng-Hsien, Liou Jian-Chiun, Lee Jen-Kuang",Dyspnoea in a patient with hepatitis C.,"A 60-year-old man had a long history of chronic hepatitis C. He presented to the emergency department with 2 days of progressive dyspnoea. Clinical manifestations included respiratory distress, cyanosis, digital clubbing, spider naevi on the upper chest and shifting dullness in the abdomen (see online supplementary figure S1). The ECG showed sinus tachycardia and left axis deviation. The chest radiography depicted blunting of right costophrenic angle with small pleural effusions and bilateral prominent pulmonary vascular markings (see online supplementary figure S2). The dyspnoea was exacerbated by upright posture and improved with recumbency. The hypoxaemia could not be corrected with administration of 100% oxygen. Contrast-enhanced transthoracic echocardiography was performed with injection of agitated saline (see figure 1 and online supplementary video). CT scan of the chest revealed some vascular abnormalities (see online supplementary figure S3-S6)."
"Barroso da Silva Fernando Luís, Pasquali Samuela, Derreumaux Philippe, Dias Luis Gustavo",Electrostatics analysis of the mutational and pH effects of the N-terminal domain self-association of the major ampullate spidroin.,"Spider silk is a fascinating material combining mechanical properties such as maximum strength and high toughness comparable or better than man-made materials, with biocompatible degradability characteristics. Experimental measurements have shown that pH triggers the dimer formation of the N-terminal domain (NTD) of the major ampullate spidroin 1 (MaSp 1). A coarse-grained model accounting for electrostatics, van der Waals and pH-dependent charge-fluctuation interactions, by means of Monte Carlo simulations, gave us a more comprehensive view of the NTD dimerization process. A detailed analysis of the electrostatic properties and free energy derivatives for the NTD homoassociation was carried out at different pH values and salt concentrations for the protein wild type and for several mutants. We observed an enhancement of dipole-dipole interactions at pH 6 due to the ionization of key amino acids, a process identified as the main driving force for dimerization. Analytical estimates based on the DVLO theory framework corroborate our findings. Molecular dynamics simulations using the OPEP coarse-grained force field for proteins show that the mutant E17Q is subject to larger structural fluctuations when compared to the wild type. Estimates of the association rate constants for this mutant were evaluated by the Debye-Smoluchowski theory and are in agreement with the experimental data when thermally relaxed structures are used instead of the crystallographic data. Our results can contribute to the design of new mutants with specific association properties."
